tutanak_id,donem,yasama_yili,butce_yili,tarih,tarih_raw,baslik,kaynak_url
1095,24,3,2013,2012-11-26,26/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
43,24,4,2014,2013-10-22,22/10/2013,MALİYE BAKANININ BÜTÇE VE KESİNHESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
31,24,4,2014,2013-10-24,24/10/2013,BÜTÇE VE KESİNHESAP KANUNU TASARILARININ GENELİ İLE SAYIŞTAY TEZKERELERİ ÜZERİNE GÖRÜŞMELER,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
1038,24,4,2014,2013-11-04,04/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
20,24,4,2014,2013-11-05,05/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
21,24,4,2014,2013-11-06,06/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
22,24,4,2014,2013-11-07,07/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
23,24,4,2014,2013-11-11,11/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
24,24,4,2014,2013-11-12,12/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
190,24,4,2014,2013-11-13,13/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
842,24,4,2014,2013-11-14,14/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
25,24,4,2014,2013-11-15,15/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
26,24,4,2014,2013-11-18,18/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
27,24,4,2014,2013-11-19,19/11/2013,2014 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2012 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=4
